REGION,TENURE_<lambda_0>,TENURE_mean,TENURE_median,MONTANT_mean,MONTANT_median,MONTANT_min,MONTANT_max,FREQUENCE_RECH_mean,FREQUENCE_RECH_median,FREQUENCE_RECH_min,FREQUENCE_RECH_max,REVENUE_mean,REVENUE_median,REVENUE_min,REVENUE_max,ARPU_SEGMENT_mean,ARPU_SEGMENT_median,ARPU_SEGMENT_min,ARPU_SEGMENT_max,FREQUENCE_mean,FREQUENCE_median,FREQUENCE_min,FREQUENCE_max,DATA_VOLUME_mean,DATA_VOLUME_median,DATA_VOLUME_min,DATA_VOLUME_max,ON_NET_mean,ON_NET_median,ON_NET_min,ON_NET_max,ORANGE_mean,ORANGE_median,ORANGE_min,ORANGE_max,TIGO_mean,TIGO_median,TIGO_min,TIGO_max,ZONE1_mean,ZONE1_median,ZONE1_min,ZONE1_max,ZONE2_mean,ZONE2_median,ZONE2_min,ZONE2_max,REGULARITY_mean,REGULARITY_median,REGULARITY_min,REGULARITY_max,FREQ_TOP_PACK_mean,FREQ_TOP_PACK_median,FREQ_TOP_PACK_min,FREQ_TOP_PACK_max
DAKAR,8,7.849000051373507,8.0,5656.985990524354,5532.11699774352,10.0,470000.0,11.593582623758458,11.529119901181485,1.0,133.0,5624.264079797834,5510.810334033614,1.0,532177.0,1874.7602031246563,1836.942893557423,0.0,177392.0,14.048281079988305,13.978141456582634,1.0,91.0,3801.63514839972,3366.4501666491406,0.0,1823866.0,242.14274586247402,277.6891404174282,0.0,38648.0,96.0606450428784,95.41871067683508,0.0,21323.0,23.11540773199859,23.109252898040815,0.0,3800.0,8.364527469907918,8.170132158071187,0.0,4792.0,7.648544698453636,7.553309360930831,0.0,3697.0,22.53546093044761,13.0,1,62,9.368760978332626,9.272461472814822,1.0,713.0
DIOURBEL,8,7.893156581130158,8.0,4313.352080439422,4000.0,50.0,159000.0,8.407576762162325,7.0,1.0,94.0,4266.624077848739,3922.0,1.0,97195.0,1422.214813422504,1307.0,0.0,32398.0,10.54136083158585,10.0,1.0,91.0,3294.8584501018745,3366.4501666491406,0.0,455659.0,199.76555530204828,43.0,0.0,22775.0,71.33033051145911,95.41871067683508,0.0,3085.0,25.502346984945117,23.109252898040815,0.0,2192.0,7.88607727475674,8.170132158071187,0.0,657.0,7.580715071649704,7.553309360930831,0.0,1346.0,30.444097383090973,29.0,1,62,7.2273450835344875,8.0,1.0,413.0
FATICK,8,7.918525376651797,8.0,4728.508129201394,3600.0,30.0,109050.0,10.0778542319274,8.0,1.0,90.0,4716.258173302147,3501.0,1.0,96900.0,1572.095360661449,1167.0,0.0,32300.0,12.33578758889017,10.0,1.0,91.0,2070.078216622423,2043.0,0.0,145658.0,354.3652263772559,109.0,0.0,16502.0,88.75354491582358,65.0,0.0,4094.0,21.47911429331534,23.109252898040815,0.0,1362.0,7.822998520957471,8.170132158071187,0.0,461.0,7.361128107440041,7.553309360930831,0.0,143.0,37.89807255281542,42.0,1,62,8.158412553752669,7.0,1.0,128.0
KAFFRINE,8,7.924208993926711,8.0,4958.614244139058,4000.0,10.0,146550.0,10.620641966636862,9.0,1.0,115.0,4952.8271706970645,3850.0,1.0,129700.0,1650.9535629893385,1283.0,0.0,43233.0,12.665269712830199,11.0,1.0,89.0,1702.066302353021,503.0,0.0,68946.0,336.07941694466615,95.0,0.0,21027.0,105.07090185726202,80.0,0.0,5250.0,19.24587546220648,23.109252898040815,0.0,3486.0,7.731006074814075,8.170132158071187,0.0,189.0,7.4203417015522275,7.553309360930831,0.0,219.0,38.66135159111071,42.0,1,62,8.654638969979736,8.0,1.0,258.0
KAOLACK,8,7.9090899717485,8.0,5020.838681243577,4000.0,25.0,125000.0,11.3948460983255,10.0,1.0,115.0,5016.330668333877,3999.0,1.0,114327.0,1672.1186172045045,1333.0,0.0,38109.0,13.878074346893811,12.0,1.0,91.0,2661.8153543657204,3214.5,0.0,257153.0,378.2661517104219,113.0,0.0,22998.0,89.90237760712252,62.0,0.0,6109.0,22.678874103523224,23.109252898040815,0.0,2758.0,7.898874793301044,8.170132158071187,0.0,1070.0,7.439865994688037,7.553309360930831,0.0,575.0,37.68153135504093,42.0,1,62,8.892100548643468,8.0,1.0,210.0
KEDOUGOU,8,7.903921568627451,8.0,5859.741472956443,5532.11699774352,100.0,101200.0,10.640237308241181,10.0,1.0,87.0,5728.915633162383,5072.0,2.0,53123.0,1909.646114546603,1690.5,1.0,17708.0,12.890233441808096,12.0,1.0,83.0,2382.8248406772536,3366.4501666491406,0.0,55139.0,327.6498940153212,143.5,0.0,9937.0,133.74612929680927,95.41871067683508,0.0,3388.0,23.446537371800318,23.109252898040815,0.0,929.0,8.710669257539276,8.170132158071187,0.0,314.0,8.144997609638487,7.553309360930831,0.0,652.0,28.742156862745098,26.0,1,62,9.282269813556793,9.272461472814822,1.0,105.0
KOLDA,8,7.855328704540175,8.0,5346.318787481372,4000.0,50.0,120700.0,12.172178767978787,10.0,1.0,94.0,5348.264211357617,3998.0,1.0,89224.0,1782.7597793542323,1333.0,0.0,29741.0,14.521042533788158,12.0,1.0,91.0,1932.5115040826395,3366.4501666491406,0.0,114629.0,394.3184143565397,124.0,0.0,20897.0,107.42075094392032,73.0,0.0,5283.0,19.402431584145795,23.109252898040815,0.0,1127.0,7.6408872855990015,8.170132158071187,0.0,923.0,7.1026934064498235,7.553309360930831,0.0,565.0,40.116743669824224,45.0,1,62,9.60779093539104,9.0,1.0,308.0
LOUGA,8,7.874228948138875,8.0,4907.906920827295,4000.0,50.0,197400.0,10.436013993270247,8.0,1.0,100.0,4903.031071747049,3851.0,1.0,199540.0,1634.3552638931014,1284.0,0.0,66513.0,12.610682237002907,11.0,1.0,91.0,2181.9077740866283,2755.0,0.0,110463.0,371.6439147969363,93.0,0.0,24293.0,88.38758891769403,65.0,0.0,5108.0,22.518539307380145,23.109252898040815,0.0,2688.0,7.737720582616596,8.170132158071187,0.0,1274.0,7.499050533194147,7.553309360930831,0.0,746.0,38.59819490575752,42.0,1,62,8.351235553177778,7.0,1.0,203.0
MATAM,8,7.808341642884159,8.0,5033.363167249583,4000.0,50.0,122600.0,10.87263405699964,9.0,1.0,117.0,5016.213165746139,3800.0,1.0,128073.0,1672.0774386399746,1267.0,0.0,42691.0,13.485473636884524,12.0,1.0,90.0,2376.819611483797,3366.4501666491406,0.0,115160.0,325.5214943854607,73.0,0.0,34105.0,97.01441286078531,66.0,0.0,4623.0,22.427646436821536,23.109252898040815,0.0,1677.0,7.689698657835762,8.170132158071187,0.0,432.0,7.203211867039571,7.553309360930831,0.0,792.0,35.05006361104425,36.0,1,62,9.04264046232725,9.0,1.0,428.0
SAINT-LOUIS,8,7.820045710091254,8.0,5906.227980703115,4900.0,50.0,165977.0,13.650164177341582,11.0,1.0,108.0,5925.165241261236,4776.0,1.0,130500.0,1975.0598721476813,1592.0,0.0,43500.0,16.238484087076934,13.978141456582634,1.0,91.0,2710.2782210083237,3366.4501666491406,0.0,215883.0,377.962242815807,88.0,0.0,45011.0,99.06979437814192,63.0,0.0,4748.0,19.89562584802772,23.109252898040815,0.0,2663.0,7.7507272954512345,8.170132158071187,0.0,554.0,7.2156044578274825,7.553309360930831,0.0,1167.0,39.25841215821697,44.0,1,62,10.509105053417393,9.0,1.0,592.0
SEDHIOU,8,7.8605322218659825,8.0,4863.582771537344,4000.0,100.0,53200.0,9.005234270928078,7.0,1.0,83.0,4825.920070569779,3999.0,1.0,54001.0,1608.6415774439306,1333.0,0.0,18000.0,11.247916311699417,9.0,1.0,87.0,2547.765365547608,3366.4501666491406,0.0,77383.0,219.53262710520954,76.0,0.0,10620.0,104.83789907699999,74.0,0.0,4151.0,19.399385041567875,23.109252898040815,0.0,699.0,7.778601155166299,8.170132158071187,0.0,165.0,7.298554308292268,7.553309360930831,0.0,56.0,30.205835203590894,28.0,1,62,7.770594698046527,7.0,1.0,106.0
TAMBACOUNDA,8,7.878200239677525,8.0,5678.677752046183,4500.0,40.0,290500.0,12.719693760102786,10.0,1.0,100.0,5686.720356402028,4419.0,1.0,148690.0,1895.5806015645971,1473.0,0.0,49563.0,15.294686991370613,13.0,1.0,91.0,2058.8836001701843,2094.5,0.0,129800.0,366.9145302750812,103.0,0.0,20295.0,108.9352415778625,72.0,0.0,4558.0,19.72366228995301,23.109252898040815,0.0,1683.0,7.987223405340127,8.170132158071187,0.0,1804.0,7.196751804932827,7.553309360930831,0.0,214.0,39.65086973889676,44.0,1,62,9.898725997467553,9.0,1.0,207.0
THIES,8,7.878807233465888,8.0,5805.545417457422,5000.0,20.0,148950.0,11.743934946259866,10.0,1.0,115.0,5818.143970717189,4849.0,1.0,207907.0,1939.3865493809724,1616.0,0.0,69302.0,14.35387053422662,13.0,1.0,91.0,3148.6401837771864,3366.4501666491406,0.0,277135.0,319.7714295425923,78.0,0.0,50809.0,94.49099114631633,63.0,0.0,6319.0,28.396357558915344,23.109252898040815,0.0,4174.0,7.9130631694337135,8.170132158071187,0.0,803.0,7.500146416981159,7.553309360930831,0.0,849.0,37.92031746384378,42.0,1,62,9.388070232623924,9.0,1.0,624.0
ZIGUINCHOR,8,7.920528594212804,8.0,5440.051232727998,4700.0,50.0,132150.0,10.545831118319567,9.0,1.0,115.0,5399.988693203693,4369.0,1.0,133500.0,1800.0019488889018,1456.0,0.0,44500.0,13.412125087802266,12.0,1.0,91.0,3123.092512409333,3366.4501666491406,0.0,390664.0,231.92779973159654,71.0,0.0,18380.0,103.932009666249,66.0,0.0,4555.0,21.01890798260689,23.109252898040815,0.0,1520.0,8.021309352207213,8.170132158071187,0.0,855.0,7.325481966198738,7.553309360930831,0.0,182.0,32.73492822966507,32.0,1,62,9.06462448488485,9.272461472814822,1.0,151.0
